tensor_file,translation
video_1.pt,i am sitting in the class
video_2.pt,i am sitting in the class
video_3.pt,could you please talk slower
video_4.pt,could you please talk slower
video_5.pt,This place is beautiful
video_6.pt,This place is beautiful
video_7.pt,pour some more water into the glass
video_8.pt,pour some more water into the glass
video_9.pt,turn on light turn off light
video_10.pt,turn on light turn off light
video_11.pt,help me
video_12.pt,help me
video_13.pt,i like you i love you
video_14.pt,i like you i love you
video_15.pt,now onwards he will never hurt you
video_16.pt,He is going into the room
video_17.pt,He is going into the room
video_18.pt,are you free today
video_19.pt,are you free today
video_20.pt,why are you angry
video_21.pt,why are you angry
video_22.pt,can you repeat that please
video_23.pt,can you repeat that please
video_24.pt,i somehow got to know about it
video_25.pt,i somehow got to know about it
video_26.pt,it was nice chatting with you
video_27.pt,it was nice chatting with you
video_28.pt,go and sleep
video_29.pt,go and sleep
video_30.pt,i do not mean it
video_31.pt,i do not mean it
video_32.pt,take care of yourself
video_33.pt,take care of yourself
video_34.pt,bring water for me
video_35.pt,bring water for me
video_36.pt,i really appreciate it
video_37.pt,i really appreciate it
video_38.pt,tell me truth
video_39.pt,tell me truth
video_40.pt,i am feeling cold
video_41.pt,i am feeling cold
video_42.pt,how are things
video_43.pt,how are things
video_44.pt,how can i trust you
video_45.pt,how can i trust you
video_46.pt,i am tired
video_47.pt,i am tired
video_48.pt,what do you think
video_49.pt,what do you think
video_50.pt,he came by train
video_51.pt,he came by train
video_52.pt,had your food
video_53.pt,had your food
video_54.pt,do not make me angry
video_55.pt,do not make me angry
video_56.pt,try to understand
video_57.pt,try to understand
video_58.pt,how old are you
video_59.pt,how old are you
video_60.pt,i am (age)
video_61.pt,do you need something
video_62.pt,do you need something
video_63.pt,do not abuse him
video_64.pt,do not abuse him
video_65.pt,i need water
video_66.pt,i need water
video_67.pt,"you do anything, i do not care"
video_68.pt,"you do anything, i do not care"
video_69.pt,i can not help you there
video_70.pt,i can not help you there
video_71.pt,i was stopped by some one
video_72.pt,i was stopped by some one
video_73.pt,you are good
video_74.pt,you are good
video_75.pt,what do you want to become
video_76.pt,what do you want to become
video_77.pt,i do not like it
video_78.pt,i do not like it
video_79.pt,do me a favour
video_80.pt,do me a favour
video_81.pt,he would be coming today
video_82.pt,he would be coming today
video_83.pt,prepare the bed
video_84.pt,prepare the bed
video_85.pt,why are you disappointed
video_86.pt,why are you disappointed
video_87.pt,i am hungry
video_88.pt,i am hungry
video_89.pt,what did you tell him
video_90.pt,what did you tell him
video_91.pt,what you want
video_92.pt,what you want
video_93.pt,what are you doing
video_94.pt,what are you doing
video_95.pt,i enjoyed a lot
video_96.pt,i enjoyed a lot
video_97.pt,congratulations
video_98.pt,congratulations
video_99.pt,i am really grateful
video_100.pt,i am really grateful
video_101.pt,do not hurt me
video_102.pt,do not hurt me
video_103.pt,i got hurt
video_104.pt,i got hurt
video_105.pt,i am so sorry to hear that
video_106.pt,i am so sorry to hear that
video_107.pt,i am fine. thank you sir
video_108.pt,i am fine. thank you sir
video_109.pt,you are welcome
video_110.pt,you are welcome
video_111.pt,how can i help you
video_112.pt,how can i help you
video_113.pt,i am afraid of that
video_114.pt,i am afraid of that
video_115.pt,i am not really sure
video_116.pt,i am not really sure
video_117.pt,it does not make any difference to me
video_118.pt,it does not make any difference to me
video_119.pt,you can do it
video_120.pt,you can do it
video_121.pt,speak softly
video_122.pt,speak softly
video_123.pt,what do you do
video_124.pt,what do you do
video_125.pt,i am in dilemma what to do
video_126.pt,i am in dilemma what to do
video_127.pt,nice to meet you
video_128.pt,nice to meet you
video_129.pt,let him take time
video_130.pt,let him take time
video_131.pt,i am feeling bored
video_132.pt,i am feeling bored
video_133.pt,you are bad
video_134.pt,you are bad
video_135.pt,that is so kind of you
video_136.pt,that is so kind of you
video_137.pt,thank you so much
video_138.pt,thank you so much
video_139.pt,i am suffering from fever
video_140.pt,i am suffering from fever
video_141.pt,do not take it to the heart
video_142.pt,do not take it to the heart
video_143.pt,what happened
video_144.pt,comb your hair
video_145.pt,comb your hair
video_146.pt,do not be stubborn
video_147.pt,do not be stubborn
video_148.pt,how dare you
video_149.pt,how dare you
video_150.pt,can i help you
video_151.pt,can i help you
video_152.pt,shall we go outside
video_153.pt,shall we go outside
video_154.pt,i am crying
video_155.pt,i am crying
video_156.pt,"you need a medicine, take this one"
video_157.pt,"you need a medicine, take this one"
video_158.pt,i promise
video_159.pt,i promise
video_160.pt,i am very happy
video_161.pt,i am very happy
video_162.pt,my name is xxxxxxxx
video_163.pt,my name is xxxxxxxx
video_164.pt,why are you crying
video_165.pt,why are you crying
video_166.pt,what is your phone number
video_167.pt,what is your phone number
video_168.pt,what have you planned for your career
video_169.pt,what have you planned for your career
video_170.pt,he is on the way
video_171.pt,he is on the way
video_172.pt,who are you
video_173.pt,who are you
video_174.pt,when will the train leave
video_175.pt,when will the train leave
video_176.pt,we are all with you
video_177.pt,we are all with you
video_178.pt,hi how are you
video_179.pt,hi how are you
video_180.pt,do not worry
video_181.pt,do not worry
